t_ms,Vbat_mean,Vbus_INA,Vbat_ADS,Vsh_mV,I_A,mode,T_C
0.0,4.1933,4.2128,4.1803,47.9176,0.4587,DISCH,28.1979
980.7725,4.1987,4.2012,4.1901,44.613,0.4268,DISCH,28.0249
1972.7608,4.1869,4.2066,4.1822,48.0993,0.4601,DISCH,28.2214
3009.0092,4.1985,4.2127,4.182,47.7458,0.4565,DISCH,28.0728
4028.1153,4.2046,4.202,4.1922,45.8522,0.4384,DISCH,28.1106
5018.2225,4.1959,4.2094,4.1783,49.6739,0.4752,DISCH,28.2344
6037.5116,4.1923,4.204,4.1873,47.6393,0.4545,DISCH,28.2068
7040.2025,4.193,4.2015,4.1878,47.2831,0.4522,DISCH,28.1475
8114.8979,4.1983,4.2134,4.188,51.257,0.4907,DISCH,28.1785
9096.6612,4.1933,4.2101,4.182,41.8046,0.3997,DISCH,28.0047
10145.0867,4.2013,4.2144,4.1844,45.5949,0.4371,DISCH,28.1206
11183.4725,4.1982,4.2043,4.1886,49.462,0.4732,DISCH,28.244
12196.9836,4.1921,4.2084,4.1892,49.8715,0.4761,DISCH,28.1698
13234.9134,4.198,4.2091,4.177,46.2772,0.4424,DISCH,28.0653
14279.5671,4.1978,4.2058,4.1849,47.3011,0.4525,DISCH,28.1875
15281.0884,4.1952,4.2021,4.1855,45.7992,0.4383,DISCH,28.1249
16243.5603,4.1973,4.2097,4.1888,46.3627,0.4433,DISCH,28.075
17253.7436,4.1971,4.2052,4.184,47.7138,0.4572,DISCH,28.1246
18266.8012,4.1952,4.2057,4.1869,45.0096,0.4306,DISCH,28.0799
19195.5086,4.198,4.202,4.1819,46.6447,0.4463,DISCH,28.1303
20158.6937,4.1943,4.2052,4.1866,48.0131,0.4594,DISCH,28.1048
21193.3874,4.188,4.2013,4.1894,46.8896,0.4487,DISCH,28.1571
22191.1815,4.2013,4.2066,4.1876,48.5885,0.4645,DISCH,28.2273
23198.027,4.1981,4.209,4.1808,44.8042,0.4292,DISCH,28.1004
24166.0498,4.1933,4.207,4.1828,45.7569,0.4377,DISCH,28.1121
25143.2072,4.1945,4.2037,4.1929,50.8329,0.4863,DISCH,28.2332
26180.7903,4.1917,4.2073,4.1933,49.1534,0.4701,DISCH,28.145
27150.2559,4.1934,4.2071,4.1904,47.0527,0.4501,DISCH,28.1175
28211.3954,4.1938,4.2051,4.1813,46.2131,0.4419,DISCH,28.1592
29159.0975,4.1982,4.2039,4.1889,46.85,0.4481,DISCH,28.1361
30182.5072,4.1969,4.2055,4.1865,48.3872,0.4624,DISCH,28.2022
31228.8691,4.1898,4.2001,4.1775,46.0758,0.4404,DISCH,28.1055
32238.2736,4.1907,4.2045,4.1782,48.1995,0.4602,DISCH,28.1798
33238.0767,4.1964,4.205,4.1833,46.3017,0.4429,DISCH,28.1276
34238.6289,4.1942,4.2064,4.1798,47.1114,0.4504,DISCH,28.1595
35284.2661,4.1926,4.2034,4.1835,47.4951,0.4545,DISCH,28.2288
36217.4981,4.191,4.2072,4.1812,45.6632,0.4362,DISCH,27.9905
37250.3046,4.2011,4.2093,4.1825,44.0636,0.4217,DISCH,27.9912
38241.4889,4.1945,4.2076,4.1843,46.9245,0.4484,DISCH,28.1328
39228.1135,4.1906,4.2009,4.1868,45.8342,0.4384,DISCH,28.1111
40194.1722,4.199,4.2028,4.1921,48.2924,0.4623,DISCH,28.1785
41227.7143,4.1999,4.198,4.1858,46.6022,0.4461,DISCH,28.086
42308.597,4.1975,4.207,4.1875,44.8568,0.4288,DISCH,28.0536
43258.6749,4.1947,4.2062,4.1789,48.93,0.4674,DISCH,28.0609
44258.6245,4.1975,4.2061,4.1841,46.026,0.4407,DISCH,28.1313
45232.8195,4.1901,4.2019,4.1968,52.119,0.4986,DISCH,28.2325
