t_ms,Vbat_mean,Vbus_INA,Vbat_ADS,Vsh_mV,I_A,mode,T_C
0,4.2005,4.2134,4.1892,43.423,0.4384,DISCH,27.44
976,4.1999,4.2127,4.1891,43.853,0.4388,DISCH,27.39
1952,4.2004,4.2116,4.189,43.729,0.4373,DISCH,27.4
2981,4.2008,4.2119,4.1883,43.799,0.4382,DISCH,27.39
4017,4.2011,4.2127,4.1887,43.631,0.4373,DISCH,27.43
4996,4.2003,4.2122,4.1878,44.06,0.4387,DISCH,27.4
6005,4.1997,4.2106,4.1891,44.124,0.4387,DISCH,27.43
7007,4.1996,4.2117,4.1863,43.683,0.4382,DISCH,27.37
8073,4.1999,4.2123,4.1875,44.257,0.4392,DISCH,27.41
9065,4.1988,4.2102,4.1873,43.672,0.4387,DISCH,27.41
10099,4.2012,4.2121,4.1911,44.081,0.4402,DISCH,27.4
11131,4.1988,4.2115,4.1884,44.157,0.4393,DISCH,27.39
12146,4.2001,4.2128,4.1906,44.204,0.4388,DISCH,27.4
13162,4.1991,4.2097,4.1889,43.969,0.4367,DISCH,27.39
14205,4.2003,4.2101,4.188,43.449,0.4376,DISCH,27.39
15203,4.2001,4.2122,4.1874,44.167,0.4389,DISCH,27.4
16169,4.1985,4.211,4.1868,43.731,0.4372,DISCH,27.38
17176,4.1996,4.2114,4.1889,44.204,0.4385,DISCH,27.39
18162,4.1995,4.2112,4.1896,43.965,0.438,DISCH,27.4
19087,4.1986,4.2082,4.1872,44.183,0.4395,DISCH,27.38
20043,4.1978,4.2103,4.1859,43.896,0.4377,DISCH,27.41
21070,4.1995,4.2117,4.1865,44.246,0.438,DISCH,27.38
22061,4.2004,4.2113,4.1896,43.959,0.4393,DISCH,27.41
23091,4.1991,4.2092,4.1867,43.575,0.439,DISCH,27.41
24074,4.1996,4.2094,4.1883,43.933,0.4384,DISCH,27.4
25068,4.2,4.2129,4.1896,43.845,0.4384,DISCH,27.41
26092,4.1995,4.213,4.1892,43.981,0.4395,DISCH,27.37
27056,4.2006,4.2133,4.1897,43.503,0.4372,DISCH,27.4
28109,4.2001,4.2112,4.1867,43.895,0.4399,DISCH,27.39
29064,4.1996,4.2119,4.1898,43.736,0.4388,DISCH,27.39
30087,4.1972,4.2079,4.1855,43.616,0.4384,DISCH,27.41
31141,4.1975,4.2094,4.1857,43.93,0.4374,DISCH,27.36
32155,4.1996,4.2102,4.1889,43.527,0.4388,DISCH,27.39
33174,4.1994,4.2113,4.1883,43.531,0.4384,DISCH,27.43
34163,4.1986,4.2097,4.1868,43.847,0.4384,DISCH,27.43
35214,4.1971,4.2052,4.1874,43.923,0.4377,DISCH,27.39
36158,4.1976,4.2088,4.1847,43.796,0.4382,DISCH,27.37
37187,4.1991,4.2105,4.1865,43.736,0.4389,DISCH,27.38
38200,4.2006,4.2129,4.1899,43.647,0.4386,DISCH,27.41
39190,4.1993,4.2107,4.189,43.703,0.4375,DISCH,27.39
40167,4.1986,4.2102,4.1867,44.106,0.4384,DISCH,27.4
41217,4.1978,4.2087,4.1852,43.709,0.4392,DISCH,27.4
42275,4.1993,4.2115,4.1887,43.247,0.4372,DISCH,27.42
43242,4.1994,4.2097,4.1881,43.596,0.4394,DISCH,27.36
44227,4.198,4.2096,4.1878,44.132,0.4389,DISCH,27.39
45204,4.1977,4.2097,4.187,43.671,0.437,DISCH,27.39
46246,4.1978,4.2103,4.1863,43.992,0.4377,DISCH,27.4
47191,4.1979,4.21,4.187,44.062,0.4371,DISCH,27.43
48169,4.1981,4.21,4.189,43.206,0.4375,DISCH,27.41
49220,4.1984,4.2093,4.1868,44.028,0.4383,DISCH,27.39
50213,4.1986,4.2102,4.1873,43.916,0.4387,DISCH,27.39
51231,4.1979,4.2079,4.1855,44.007,0.4385,DISCH,27.39
52231,4.1964,4.2092,4.1854,43.976,0.4393,DISCH,27.4
53166,4.1979,4.2078,4.1864,43.155,0.4379,DISCH,27.38
54161,4.1996,4.211,4.1868,43.531,0.4386,DISCH,27.39
55156,4.1976,4.2101,4.1881,43.924,0.4402,DISCH,27.38
56197,4.198,4.2094,4.1861,43.648,0.4395,DISCH,27.4
57185,4.1971,4.2068,4.1857,44.148,0.4385,DISCH,27.4
58177,4.1959,4.2069,4.1843,43.904,0.4394,DISCH,27.4
59151,4.1974,4.2096,4.1845,43.832,0.439,DISCH,27.38
60120,4.1969,4.2075,4.1853,43.863,0.4379,DISCH,27.39
61040,4.1972,4.2077,4.1875,43.438,0.4379,DISCH,27.38
62033,4.1983,4.2114,4.1889,44.022,0.4388,DISCH,27.39
63028,4.1969,4.2105,4.1855,43.615,0.4371,DISCH,27.41
64067,4.1982,4.2109,4.1862,43.309,0.4356,DISCH,27.41
65052,4.1981,4.2081,4.1879,43.9,0.4388,DISCH,27.41
66052,4.1989,4.2105,4.1872,43.444,0.4374,DISCH,27.39
67095,4.1982,4.2103,4.1858,43.941,0.4383,DISCH,27.43
68113,4.1973,4.2096,4.1852,43.79,0.4385,DISCH,27.41
69114,4.1963,4.2092,4.1846,43.918,0.439,DISCH,27.41
70086,4.1983,4.2094,4.1874,43.704,0.44,DISCH,27.4
71104,4.196,4.2079,4.1856,43.488,0.4368,DISCH,27.38
72098,4.2002,4.2119,4.1878,44.174,0.4397,DISCH,27.41
