t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w,ah_accum,soc_gt
0,4.200266666666667,4.2134,4.1892,43.423,0.4381666666666666,DISCH,27.41,0.0,0.0,1.8404167466666668,0.0,1.0
976,4.2004,4.2127,4.1891,43.853,0.438175,DISCH,27.405,0.976,0.976,1.8405102,0.0001187941111111111,0.9999626553532504
1952,4.20054,4.2116,4.189,43.729,0.438,DISCH,27.410000000000004,1.952,0.976,1.839836366,0.00023754077777777776,0.9999253256213478
2981,4.2005,4.2119,4.1883,43.799,0.4380599999999999,DISCH,27.402,2.981,1.029,1.8400708480000003,0.0003627529277777777,0.99988596337126
4017,4.20046,4.2127,4.1887,43.631,0.43804,DISCH,27.410000000000004,4.017,1.0360000000000005,1.839969302,0.0004888111055555555,0.9998463351601056
4996,4.2003,4.2122,4.1878,44.06,0.43822,DISCH,27.404,4.996,0.979,1.840655262,0.0006079826,0.9998088718774476
6005,4.20012,4.2106,4.1891,44.124,0.43842,DISCH,27.408,6.005,1.0089999999999997,1.841416366,0.0007308619833333332,0.9997702429662964
7007,4.19966,4.2117,4.1863,43.683,0.4387,DISCH,27.404000000000003,7.007,1.0019999999999998,1.842390872,0.0008529668166666666,0.9997318575461387
8073,4.19984,4.2123,4.1875,44.257,0.4389999999999999,DISCH,27.404,8.073,1.0660000000000007,1.843730198,0.0009829595944444445,0.9996909924365746
9065,4.199660000000001,4.2102,4.1873,43.672,0.43912,DISCH,27.396000000000004,9.065,0.9919999999999992,1.844155088,0.00110396155,0.9996529537219955
10099,4.19976,4.2121,4.1911,44.081,0.43924,DISCH,27.402,10.099,1.0340000000000007,1.84470292,0.0012301210388888889,0.9996132936622281
11131,4.199599999999999,4.2115,4.1884,44.157,0.4387399999999999,DISCH,27.398000000000003,11.131,1.032,1.842533098,0.0013558931722222223,0.9995737553732813
12146,4.1999,4.2128,4.1906,44.204,0.43852,DISCH,27.394,12.146,1.0150000000000006,1.841740642,0.00147953145,0.9995348878926869
13162,4.19968,4.2097,4.1889,43.969,0.43826,DISCH,27.394,13.162,1.016,1.840551772,0.0016032181611111112,0.9994960051863736
14205,4.19962,4.2101,4.188,43.449,0.43784,DISCH,27.392000000000003,14.205,1.0429999999999993,1.838762044,0.0017300701388888889,0.9994561274327097
15203,4.19952,4.2122,4.1874,44.167,0.4377799999999999,DISCH,27.39,15.203,0.9979999999999992,1.838466188,0.001851432483333333,0.9994179754246716
16169,4.199599999999999,4.211,4.1868,43.731,0.43804,DISCH,27.392000000000003,16.169,0.9660000000000012,1.839592994,0.0019689732166666665,0.999381024795352
