t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w,ah_accum,soc_gt
0.0,4.192966666666666,4.2128,4.1803,47.9176,0.4485333333333334,DISCH,28.148066666666665,0.0,0.0,1.88062152,0.0,1.0
980.7725,4.19435,4.2012,4.1901,44.613,0.450525,DISCH,28.12925,0.9807725,0.9807725,1.8896199525,0.00012273959182291667,0.9999612063999175
1972.7608,4.1964,4.2066,4.1822,48.0993,0.4481,DISCH,28.12552,1.9727608,0.9919883,1.88035529,0.00024621457994236114,0.9999221803673378
3009.0092,4.19692,4.2127,4.182,47.7458,0.4514,DISCH,28.13282,3.0090092,1.0362483999999998,1.8944402840000003,0.00037614861543125,0.9998811128606352
4028.1153,4.19564,4.202,4.1922,45.8522,0.45694,DISCH,28.1692,4.0281153,1.0191060999999997,1.917119322,0.0005055014880240278,0.9998402290387619
5018.2225,4.196859999999999,4.2094,4.1783,49.6739,0.4553599999999999,DISCH,28.154420000000005,5.0182225,0.9901072000000006,1.911055704,0.0006307390476329168,0.9998006459203026
6037.5116,4.19682,4.204,4.1873,47.6393,0.4622,DISCH,28.17556,6.0375116,1.0192891,1.939753816,0.0007616044426384724,0.9997592840441297
7040.2025,4.19456,4.2015,4.1878,47.2831,0.45446,DISCH,28.154380000000003,7.0402025,1.0026909000000002,1.90630689,0.0008881830277534724,0.9997192770754163
8114.8979,4.195639999999999,4.2134,4.188,51.257,0.44684,DISCH,28.131620000000005,8.1148979,1.0746954000000004,1.8748062,0.0010215766090134724,0.9996771161298883
9096.6612,4.19682,4.2101,4.182,41.8046,0.45058,DISCH,28.13906,9.0966612,0.981763299999999,1.891043778,0.0011444551944895835,0.9996382785988777
10145.0867,4.19664,4.2144,4.1844,45.5949,0.45536,DISCH,28.14352,10.1450867,1.0484255000000005,1.91100062,0.0012770693710673613,0.9995963639953254
11183.4725,4.19658,4.2043,4.1886,49.462,0.4457000000000001,DISCH,28.12088,11.1834725,1.0383858000000004,1.870418498,0.0014056273019173613,0.9995557314261375
12196.9836,4.1974800000000005,4.2084,4.1892,49.8715,0.45626,DISCH,28.15744,12.1969836,1.0135110999999988,1.915106996,0.001534078572607917,0.9995151325684156
13234.9134,4.1962600000000005,4.2091,4.177,46.2772,0.4564999999999999,DISCH,28.158300000000004,13.2349134,1.0379298000000006,1.915580582,0.0016656938375245835,0.9994735336851531
14279.5671,4.19608,4.2058,4.1849,47.3011,0.45052,DISCH,28.1245,14.2795671,1.0446536999999996,1.890395552,0.0017964264444479167,0.9994322137785492
