t_ms,v_bat_v,v_bus_v,v_ads_v,vsh_mv,i_a,mode,t_c,time_s,dt_s,p_w
0,4.200266666666667,4.2134,4.1892,43.423,0.43816666666666665,DISCH,27.41,0.0,0.0,1.8404167466666668
976,4.2004,4.2127,4.1891,43.853,0.438175,DISCH,27.405,0.976,0.976,1.8405102000000002
1952,4.20054,4.2116,4.189,43.729,0.438,DISCH,27.410000000000004,1.952,0.976,1.8398363660000001
2981,4.2005,4.2119,4.1883,43.799,0.43805999999999995,DISCH,27.401999999999997,2.981,1.029,1.8400708480000003
4017,4.20046,4.2127,4.1887,43.631,0.43804,DISCH,27.410000000000004,4.017,1.0360000000000005,1.839969302
4996,4.2003,4.2122,4.1878,44.06,0.43822,DISCH,27.403999999999996,4.996,0.9790000000000001,1.8406552619999998
6005,4.20012,4.2106,4.1891,44.124,0.43842,DISCH,27.407999999999998,6.005,1.0089999999999995,1.841416366
7007,4.19966,4.2117,4.1863,43.683,0.4387,DISCH,27.404000000000003,7.007,1.0019999999999998,1.842390872
8073,4.19984,4.2123,4.1875,44.257,0.43899999999999995,DISCH,27.403999999999996,8.073,1.0660000000000007,1.843730198
9065,4.199660000000001,4.2102,4.1873,43.672,0.43912000000000007,DISCH,27.396000000000004,9.065,0.9919999999999991,1.8441550880000002
10099,4.19976,4.2121,4.1911,44.081,0.43924,DISCH,27.401999999999997,10.099,1.0340000000000007,1.84470292
11131,4.199599999999999,4.2115,4.1884,44.157,0.43873999999999996,DISCH,27.398000000000003,11.131,1.032,1.842533098
12146,4.1999,4.2128,4.1906,44.204,0.43852,DISCH,27.394,12.146,1.0150000000000006,1.8417406420000002
13162,4.19968,4.2097,4.1889,43.969,0.43826,DISCH,27.394,13.162,1.016,1.840551772
14205,4.19962,4.2101,4.188,43.449,0.43784,DISCH,27.392000000000003,14.205,1.0429999999999993,1.8387620439999999
15203,4.19952,4.2122,4.1874,44.167,0.43777999999999995,DISCH,27.389999999999997,15.203,0.9979999999999993,1.838466188
16169,4.199599999999999,4.211,4.1868,43.731,0.43804,DISCH,27.392000000000003,16.169,0.9660000000000011,1.8395929940000002
17176,4.19926,4.2114,4.1889,44.204,0.43842,DISCH,27.389999999999997,17.176,1.006999999999998,1.841039678
18162,4.1988,4.2112,4.1896,43.965,0.43818,DISCH,27.392000000000003,18.162,0.9860000000000007,1.8398303119999997
19087,4.199,4.2082,4.1872,44.183,0.43834,DISCH,27.392000000000003,19.087,0.9250000000000007,1.8405896719999997
20043,4.199160000000001,4.2103,4.1859,43.896,0.4385,DISCH,27.395999999999997,20.043,0.9559999999999995,1.8413318959999998
21070,4.19908,4.2117,4.1865,44.246,0.4387,DISCH,27.398000000000003,21.07,1.027000000000001,1.8421366759999998
22061,4.19928,4.2113,4.1896,43.959,0.43848000000000004,DISCH,27.401999999999997,22.061,0.9909999999999997,1.8413006639999998
23091,4.19972,4.2092,4.1867,43.575,0.43861999999999995,DISCH,27.401999999999997,23.091,1.0300000000000011,1.8420812520000003
24074,4.19972,4.2094,4.1883,43.933,0.43892,DISCH,27.4,24.074,0.9830000000000005,1.8433411020000001
25068,4.19976,4.2129,4.1896,43.845,0.4385,DISCH,27.398000000000003,25.068,0.9939999999999998,1.841594422
26092,4.19996,4.213,4.1892,43.981,0.43868,DISCH,27.394,26.092,1.0239999999999974,1.84243824
27056,4.19996,4.2133,4.1897,43.503,0.43876,DISCH,27.391999999999996,27.056,0.9640000000000022,1.8427742079999998
28109,4.1994,4.2112,4.1867,43.895,0.43876,DISCH,27.392000000000003,28.109,1.0530000000000008,1.842528704
29064,4.199,4.2119,4.1898,43.736,0.43834,DISCH,27.389999999999997,29.064,0.9549999999999983,1.840589954
30087,4.1988,4.2079,4.1855,43.616,0.43866000000000005,DISCH,27.387999999999998,30.087,1.0229999999999997,1.8418463859999998
31141,4.198659999999999,4.2094,4.1857,43.93,0.43836,DISCH,27.395999999999997,31.141,1.0539999999999985,1.84052498
